label;text
irr;Ho come l'impressione che la recente evoluzione di #facebook abbia creato un ulteriore solco con #google+ ...la vittoria finale??
neg;Stay hungry stay foolish. Steve Jobs founder @Apple #WinningWithEL
neg;Stay hungry stay foolish. Steve Jobs founder @Apple #WinningWithEL
neg;Stay hungry stay foolish. Steve Jobs founder @Apple #WinningWithEL
neg;Stay hungry stay foolish. Steve Jobs founder @Apple #WinningWithEL
neg;why the fuck dose my phone decide its just ganna freeze every time i try to update it so fucking sick of @apple
neg;why the fuck dose my phone decide its just ganna freeze every time i try to update it so fucking sick of @apple
neg;why the fuck dose my phone decide its just ganna freeze every time i try to update it so fucking sick of @apple
neg;why the fuck dose my phone decide its just ganna freeze every time i try to update it so fucking sick of @apple
pos;RT @SawyerHartman: I FU*KING LOVE YOU @APPLE this phone is the best thing ever !! SIRI = BEST THING EVER MADE
pos;RT @SawyerHartman: I FU*KING LOVE YOU @APPLE this phone is the best thing ever !! SIRI = BEST THING EVER MADE
pos;RT @SawyerHartman: I FU*KING LOVE YOU @APPLE this phone is the best thing ever !! SIRI = BEST THING EVER MADE
pos;RT @SawyerHartman: I FU*KING LOVE YOU @APPLE this phone is the best thing ever !! SIRI = BEST THING EVER MADE
neu;RT @DJTREBEL1: #fail i guess @apple didnt notify these clowns that the iPhone5 isnst out yet.... http://t.co/2yCDNt1B
neg;RT @DJTREBEL1: #fail i guess @apple didnt notify these clowns that the iPhone5 isnst out yet.... http://t.co/2yCDNt1B
neg;RT @DJTREBEL1: #fail i guess @apple didnt notify these clowns that the iPhone5 isnst out yet.... http://t.co/2yCDNt1B
neg;RT @DJTREBEL1: #fail i guess @apple didnt notify these clowns that the iPhone5 isnst out yet.... http://t.co/2yCDNt1B
neu;More Twitter buzz for Apple Store: http://t.co/hLybd7uc - RT @ji_lee started out as a trip to the @apple store. turned into a spontaneou...
pos;More Twitter buzz for Apple Store: http://t.co/hLybd7uc - RT @ji_lee started out as a trip to the @apple store. turned into a spontaneou...
pos;More Twitter buzz for Apple Store: http://t.co/hLybd7uc - RT @ji_lee started out as a trip to the @apple store. turned into a spontaneou...
pos;More Twitter buzz for Apple Store: http://t.co/hLybd7uc - RT @ji_lee started out as a trip to the @apple store. turned into a spontaneou...
irr;@apple so iMac or MacBook pro?
neu;@apple so iMac or MacBook pro?
pos;@apple so iMac or MacBook pro?
neu;@apple so iMac or MacBook pro?
pos;@Apple's Steve Jobs Gets His Day | PCWorld http://t.co/6gT6w2Od
neu;@Apple's Steve Jobs Gets His Day | PCWorld http://t.co/6gT6w2Od
irr;@Apple's Steve Jobs Gets His Day | PCWorld http://t.co/6gT6w2Od
neu;@Apple's Steve Jobs Gets His Day | PCWorld http://t.co/6gT6w2Od
irr;Let's be honest #twitter nothing's #trending en #español.
neg;Let's be honest #twitter nothing's #trending en #español.
irr;Let's be honest #twitter nothing's #trending en #español.
irr;Let's be honest #twitter nothing's #trending en #español.
irr;แช๊ะ ภาพคู่ @Apple :) http://t.co/MMvtnUPg
neu;แช๊ะ ภาพคู่ @Apple :) http://t.co/MMvtnUPg
irr;แช๊ะ ภาพคู่ @Apple :) http://t.co/MMvtnUPg
irr;แช๊ะ ภาพคู่ @Apple :) http://t.co/MMvtnUPg
irr;este hueon no cacha que hay mouses que funcionan sobre cualquier superficie #microsoft @clubdelacomedia
neg;este hueon no cacha que hay mouses que funcionan sobre cualquier superficie #microsoft @clubdelacomedia
irr;este hueon no cacha que hay mouses que funcionan sobre cualquier superficie #microsoft @clubdelacomedia
irr;este hueon no cacha que hay mouses que funcionan sobre cualquier superficie #microsoft @clubdelacomedia
neu;Handling Multi-touch and Mouse Input in All Browsers http://t.co/duK6ze2G #microsoft #ie
neu;Handling Multi-touch and Mouse Input in All Browsers http://t.co/duK6ze2G #microsoft #ie
pos;Handling Multi-touch and Mouse Input in All Browsers http://t.co/duK6ze2G #microsoft #ie
neu;Handling Multi-touch and Mouse Input in All Browsers http://t.co/duK6ze2G #microsoft #ie
neg;@twitter can you look at problem on iPad where it won't open @ messages. It just crashes the app. You too @apple maybe your fault.
neg;@twitter can you look at problem on iPad where it won't open @ messages. It just crashes the app. You too @apple maybe your fault.
neg;@twitter can you look at problem on iPad where it won't open @ messages. It just crashes the app. You too @apple maybe your fault.
neg;@twitter can you look at problem on iPad where it won't open @ messages. It just crashes the app. You too @apple maybe your fault.
irr;iSteps @apple store bologna http://t.co/WjjBq7Ae
neu;iSteps @apple store bologna http://t.co/WjjBq7Ae
irr;iSteps @apple store bologna http://t.co/WjjBq7Ae
irr;iSteps @apple store bologna http://t.co/WjjBq7Ae
neg;I hate #twitter right now..
neg;I hate #twitter right now..
neg;I hate #twitter right now..
neg;I hate #twitter right now..
irr;قال الرئيس التنفيذي لشركة #Microsoft ستيف بالمر اليوم في مؤتمر Web 2.0 ان اجهزة الأندرويد اجهزه ممله واضاف #Android_ar #Tech_ar
neg;قال الرئيس التنفيذي لشركة #Microsoft ستيف بالمر اليوم في مؤتمر Web 2.0 ان اجهزة الأندرويد اجهزه ممله واضاف #Android_ar #Tech_ar
irr;قال الرئيس التنفيذي لشركة #Microsoft ستيف بالمر اليوم في مؤتمر Web 2.0 ان اجهزة الأندرويد اجهزه ممله واضاف #Android_ar #Tech_ar
irr;قال الرئيس التنفيذي لشركة #Microsoft ستيف بالمر اليوم في مؤتمر Web 2.0 ان اجهزة الأندرويد اجهزه ممله واضاف #Android_ar #Tech_ar
pos;Is it bad if I just want it because its called the #icecreamsandwich ?http://t.co/Wt3C2rP1 #android #sansung #google
neu;Is it bad if I just want it because its called the #icecreamsandwich ?http://t.co/Wt3C2rP1 #android #sansung #google
neu;Is it bad if I just want it because its called the #icecreamsandwich ?http://t.co/Wt3C2rP1 #android #sansung #google
neu;Is it bad if I just want it because its called the #icecreamsandwich ?http://t.co/Wt3C2rP1 #android #sansung #google
pos;Ice Cream Sandwich to stop carriers bullying smartphone users #google #android http://t.co/BZNy74Nn
neg;Ice Cream Sandwich to stop carriers bullying smartphone users #google #android http://t.co/BZNy74Nn
neu;Ice Cream Sandwich to stop carriers bullying smartphone users #google #android http://t.co/BZNy74Nn
neu;Ice Cream Sandwich to stop carriers bullying smartphone users #google #android http://t.co/BZNy74Nn
pos;Google+ to Support Pseudonyms http://t.co/ms1eBXpx #google+ #googlesocialmedia #googleventures #facebook #twitter #socialmediamarketing
neu;Google+ to Support Pseudonyms http://t.co/ms1eBp #google+ #googlesocialmedia #googleventures #facebook #twitter #socialmediamarketing
irr;Google+ to Support Pseudonyms http://t.co/ms1eBXpx #google+ #googlesocialmedia #googleventures #facebook #twitter #socialmediamarketing
neu;Google+ to Support Pseudonyms http://t.co/ms1eBXpx #google+ #googlesocialmedia #googleventures #facebook #twitter #socialmediamarketing
neu;Save ink by printing certain areas of your doc. Highlight the text click Print under Page Range tick ‘Selection’. #microsoft #word #office
neu;Save ink by printing certain areas of your doc. Highlight the tet click Print under Page Range tick ‘Selection’. #microsoft #word #office
neu;Save ink by printing certain areas of your doc. Highlight the text click Print under Page Range tick ‘Selection’. #microsoft #word #office
neu;Save ink by printing certain areas of your doc. Highlight the text click Print under Page Range tick ‘Selection’. #microsoft #word #office
irr;no tempo qe eu usava #twitter era bem melhor fazia muitas amizades hoje em dia #twitter serve apenas para falar bobeiras :s
neg;no tempo qe eu usava #twitter era bem melhor fazia muitas amizades hoje em dia #twitter serve apenas para falar bobeiras :s
irr;no tempo qe eu usava #twitter era bem melhor fazia muitas amizades hoje em dia #twitter serve apenas para falar bobeiras :s
irr;no tempo qe eu usava #twitter era bem melhor fazia muitas amizades hoje em dia #twitter serve apenas para falar bobeiras :s
neg;…and only the first 23 images in my Photo Roll made it over? Seriously @apple how did you fuck this up so much?
neg;…and only the first 23 images in my Photo Roll made it over? Seriously @apple how did you fuck this up so much?
neg;…and only the first 23 images in my Photo Roll made it over? Seriously @apple how did you fuck this up so much?
neg;…and only the first 23 images in my Photo Roll made it over? Seriously @apple how did you fuck this up so much?
pos;Great up close & personal event @Apple tonight in Regent St store!
pos;Great up close & personal event @Apple tonight in Regent St store!
pos;Great up close & personal event @Apple tonight in Regent St store!
pos;Great up close & personal event @Apple tonight in Regent St store!
irr;@CarlosTolosa10 jajaja buscalo en #google y ve como esta jajaja
pos;@CarlosTolosa10 jajaja buscalo en #google y ve como esta jajaja
irr;@CarlosTolosa10 jajaja buscalo en #google y ve como esta jajaja
irr;@CarlosTolosa10 jajaja buscalo en #google y ve como esta jajaja
irr;Endlich kommt mein lang ersehntes Feature aus SciFi Filmen - #Microsoft #OmniTouch macht aus allem einen Touchscreen: http://t.co/4m2lrVUz
pos;Endlich kommt mein lang ersehntes Feature aus SciFi Filmen - #Microsoft #OmniTouch macht aus allem einen Touchscreen: http://t.co/4m2lrVUz
irr;Endlich kommt mein lang ersehntes Feature aus SciFi Filmen - #Microsoft #OmniTouch macht aus allem einen Touchscreen: http://t.co/4m2lrVUz
irr;Endlich kommt mein lang ersehntes Feature aus SciFi Filmen - #Microsoft #OmniTouch macht aus allem einen Touchscreen: http://t.co/4m2lrVUz
pos;.@apple you got me. I'm now invested. MacBook Pro next year. Time to get on selling more of my #android gear
pos;.@apple you got me. I'm now invested. MacBook Pro net year. Time to get on selling more of my #android gear
pos;.@apple you got me. I'm now invested. MacBook Pro next year. Time to get on selling more of my #android gear
pos;.@apple you got me. I'm now invested. MacBook Pro next year. Time to get on selling more of my #android gear
neu;RT @JOMANERH: My #twitter age is 234 days 13 hours 41 minutes 16 seconds. Find out yours at http://t.co/MT0VAJwd #twittertime
neu;RT @JOMANERH: My #twitter age is 234 days 13 hours 41 minutes 16 seconds. Find out yours at http://t.co/MT0VAJwd #twittertime
irr;RT @JOMANERH: My #twitter age is 234 days 13 hours 41 minutes 16 seconds. Find out yours at http://t.co/MT0VAJwd #twittertime
neu;RT @JOMANERH: My #twitter age is 234 days 13 hours 41 minutes 16 seconds. Find out yours at http://t.co/MT0VAJwd #twittertime
neu;#Google unveils what's new in #Android 4 'Ice Cream Sandwich' http://t.co/uOLAYieA
neu;#Google unveils what's new in #Android 4 'Ice Cream Sandwich' http://t.co/uOLAYieA
neu;#Google unveils what's new in #Android 4 'Ice Cream Sandwich' http://t.co/uOLAYieA
neu;#Google unveils what's new in #Android 4 'Ice Cream Sandwich' http://t.co/uOLAYieA
pos;@ScottShipman1 Glad to hear! Hey @Mckellip thank you for the #Microsoft #Lync video participation #onthebigscreen :) @CoreBTS #CoreAppTech
pos;@ScottShipman1 Glad to hear! Hey @Mckellip thank you for the #Microsoft #Lync video participation #onthebigscreen :) @CoreBTS #CoreAppTech
pos;@ScottShipman1 Glad to hear! Hey @Mckellip thank you for the #Microsoft #Lync video participation #onthebigscreen :) @CoreBTS #CoreAppTech
pos;@ScottShipman1 Glad to hear! Hey @Mckellip thank you for the #Microsoft #Lync video participation #onthebigscreen :) @CoreBTS #CoreAppTech
irr;#Digital : Google en Twitter komen niet tot een overeenkomst voor realtime-zoekdiensten - ... #de #google #en http://t.co/cFmZOejW
neg;#Digital : Google en Twitter komen niet tot een overeenkomst voor realtime-zoekdiensten - ... #de #google #en http://t.co/cFmZOejW
irr;#Digital : Google en Twitter komen niet tot een overeenkomst voor realtime-zoekdiensten - ... #de #google #en http://t.co/cFmZOejW
irr;#Digital : Google en Twitter komen niet tot een overeenkomst voor realtime-zoekdiensten - ... #de #google #en http://t.co/cFmZOejW
neg;One would think the voice recognition on the @apple tech support line would work a little better.
neu;One would think the voice recognition on the @apple tech support line would work a little better.
neg;One would think the voice recognition on the @apple tech support line would work a little better.
neg;One would think the voice recognition on the @apple tech support line would work a little better.
irr;Né @Apple vai trabalhar no iPhone5
neg;Né @Apple vai trabalhar no iPhone5
irr;Né @Apple vai trabalhar no iPhone5
irr;Né @Apple vai trabalhar no iPhone5
irr;Waa ya tienes #twitter @luchiie24 wuahahahaha
pos;Waa ya tienes #twitter @luchiie24 wuahahahaha
irr;Waa ya tienes #twitter @luchiie24 wuahahahaha
irr;Waa ya tienes #twitter @luchiie24 wuahahahaha
neu;Google encrypts searches: http://t.co/q8inLdFy #Google
neu;Google encrypts searches: http://t.co/q8inLdFy #Google
neu;Google encrypts searches: http://t.co/q8inLdFy #Google
neu;Google encrypts searches: http://t.co/q8inLdFy #Google
neu;Hitting the sack early. G-night #twitter
pos;Hitting the sack early. G-night #twitter
irr;Hitting the sack early. G-night #twitter
neu;Hitting the sack early. G-night #twitter
neg;@APPLE Wow @MOTOROLA Just crushed your dreams....
neg;@APPLE Wow @MOTOROLA Just crushed your dreams....
irr;@APPLE Wow @MOTOROLA Just crushed your dreams....
neg;@APPLE Wow @MOTOROLA Just crushed your dreams....
irr;Auch Google gefällt das Panda 2.5 Update nicht – Analyse eines Rollbacks « Searchmetrics SEO Blog http://t.co/2LvpBK0J #google #panda #seo
neg;Auch Google gefällt das Panda 2.5 Update nicht – Analyse eines Rollbacks « Searchmetrics SEO Blog http://t.co/2LvpBK0J #google #panda #seo
irr;Auch Google gefällt das Panda 2.5 Update nicht – Analyse eines Rollbacks « Searchmetrics SEO Blog http://t.co/2LvpBK0J #google #panda #seo
irr;Auch Google gefällt das Panda 2.5 Update nicht – Analyse eines Rollbacks « Searchmetrics SEO Blog http://t.co/2LvpBK0J #google #panda #seo
irr;RT @EurekaStartups Un teclado táctil sobre cualquier superficie  http://t.co/EakkXn0O #Microsoft #Tecnología
neu;RT @EurekaStartups Un teclado táctil sobre cualquier superficie  http://t.co/Eakkn0O #Microsoft #Tecnología
irr;RT @EurekaStartups Un teclado táctil sobre cualquier superficie  http://t.co/EakkXn0O #Microsoft #Tecnología
irr;RT @EurekaStartups Un teclado táctil sobre cualquier superficie  http://t.co/EakkXn0O #Microsoft #Tecnología
pos;#itasum11 - Gadgeteer http://t.co/ecWX3Ajl - The New Way to make inspire and stimulate learning #edugeek #kinext #microsoft
pos;#itasum11 - Gadgeteer http://t.co/ecW3Ajl - The New Way to make inspire and stimulate learning #edugeek #kinet #microsoft
neu;#itasum11 - Gadgeteer http://t.co/ecWX3Ajl - The New Way to make inspire and stimulate learning #edugeek #kinext #microsoft
pos;#itasum11 - Gadgeteer http://t.co/ecWX3Ajl - The New Way to make inspire and stimulate learning #edugeek #kinext #microsoft
neu;@apple @iphone sold more because its in more retail duhhhh. Also woz is correct people dont want tech answer just simple child like ones ok!
neg;@apple @iphone sold more because its in more retail duhhhh. Also woz is correct people dont want tech answer just simple child like ones ok!
neu;@apple @iphone sold more because its in more retail duhhhh. Also woz is correct people dont want tech answer just simple child like ones ok!
neu;@apple @iphone sold more because its in more retail duhhhh. Also woz is correct people dont want tech answer just simple child like ones ok!
pos;@davidcohen Sounds like 2nd day strategy isn't working. We got ours yesterday - in and out in no time. @Apple staff awesome/efficient!
pos;@davidcohen Sounds like 2nd day strategy isn't working. We got ours yesterday - in and out in no time. @Apple staff awesome/efficient!
pos;@davidcohen Sounds like 2nd day strategy isn't working. We got ours yesterday - in and out in no time. @Apple staff awesome/efficient!
pos;@davidcohen Sounds like 2nd day strategy isn't working. We got ours yesterday - in and out in no time. @Apple staff awesome/efficient!
neg;Damn it @Apple!! Whatchu done to my phone??
neg;Damn it @Apple!! Whatchu done to my phone??
neg;Damn it @Apple!! Whatchu done to my phone??
neg;Damn it @Apple!! Whatchu done to my phone??
neu;Ok so my #EX girlfriend hacked my #TWITTER this should be funny
neg;Ok so my #E girlfriend hacked my #TWITTER this should be funny
irr;Ok so my #EX girlfriend hacked my #TWITTER this should be funny
neu;Ok so my #EX girlfriend hacked my #TWITTER this should be funny
neu;"Straight Outta Hak Mob"""" RT @Jhon_Doe_Smokes: Out of my 7 months of actually gettin on #Twitter. I've only bee… (cont) http://t.co/qDM3X8BB"
irr;"Straight Outta Hak Mob"""" RT @Jhon_Doe_Smokes: Out of my 7 months of actually gettin on #Twitter. I've only bee… (cont) http://t.co/qDM38BB"
irr;"Straight Outta Hak Mob"""" RT @Jhon_Doe_Smokes: Out of my 7 months of actually gettin on #Twitter. I've only bee… (cont) http://t.co/qDM3X8BB"
irr;"Straight Outta Hak Mob"""" RT @Jhon_Doe_Smokes: Out of my 7 months of actually gettin on #Twitter. I've only bee… (cont) http://t.co/qDM3X8BB"
neg;Restored my iPhone. STILL NO TEXTS. DEAR @APPLE Y NO LOVE Y RESTRICTIONS ON MY SMS? Y NO TEXTS.... #iOS5 #iOS5atemydingo
neg;Restored my iPhone. STILL NO TETS. DEAR @APPLE Y NO LOVE Y RESTRICTIONS ON MY SMS? Y NO TETS.... #iOS5 #iOS5atemydingo
neg;Restored my iPhone. STILL NO TEXTS. DEAR @APPLE Y NO LOVE Y RESTRICTIONS ON MY SMS? Y NO TEXTS.... #iOS5 #iOS5atemydingo
neg;Restored my iPhone. STILL NO TEXTS. DEAR @APPLE Y NO LOVE Y RESTRICTIONS ON MY SMS? Y NO TEXTS.... #iOS5 #iOS5atemydingo
neu;High Tech Director of Business Development *selling consulting services* #Oracle #Microsoft #SAP #SanFrancisco #jobs http://t.co/OWf25yJB
neu;High Tech Director of Business Development *selling consulting services* #Oracle #Microsoft #SAP #SanFrancisco #jobs http://t.co/OWf25yJB
irr;High Tech Director of Business Development *selling consulting services* #Oracle #Microsoft #SAP #SanFrancisco #jobs http://t.co/OWf25yJB
neu;High Tech Director of Business Development *selling consulting services* #Oracle #Microsoft #SAP #SanFrancisco #jobs http://t.co/OWf25yJB
irr;RT @WindowsFrance: Avec OmniTouch faites de n'importe quelle surface un écran tactile http://t.co/kBP15kTt #Microsoft #OmniTouch
pos;RT @WindowsFrance: Avec OmniTouch faites de n'importe quelle surface un écran tactile http://t.co/kBP15kTt #Microsoft #OmniTouch
neu;RT @WindowsFrance: Avec OmniTouch faites de n'importe quelle surface un écran tactile http://t.co/kBP15kTt #Microsoft #OmniTouch
neu;RT @WindowsFrance: Avec OmniTouch faites de n'importe quelle surface un écran tactile http://t.co/kBP15kTt #Microsoft #OmniTouch
neg;"Boy could @apple make it any harder to put my purchased music from the cloud on to my new macbook pro? """"You must authorize this computer…"""""
neg;"Boy could @apple make it any harder to put my purchased music from the cloud on to my new macbook pro? """"You must authorize this computer…"""""
neg;"Boy could @apple make it any harder to put my purchased music from the cloud on to my new macbook pro? """"You must authorize this computer…"""""
neg;"Boy could @apple make it any harder to put my purchased music from the cloud on to my new macbook pro? """"You must authorize this computer…"""""
irr;@ViviStephiee buscalo en #google..persona qe se comen a los conejos D:
irr;@ViviStephiee buscalo en #google..persona qe se comen a los conejos D:
irr;@ViviStephiee buscalo en #google..persona qe se comen a los conejos D:
irr;@ViviStephiee buscalo en #google..persona qe se comen a los conejos D:
irr;Surfactants pdf ebook: http://t.co/JlzvsR9f #google
neu;Surfactants pdf ebook: http://t.co/JlzvsR9f #google
irr;Surfactants pdf ebook: http://t.co/JlzvsR9f #google
irr;Surfactants pdf ebook: http://t.co/JlzvsR9f #google
pos;@csg122 http://t.co/TBxLrvin Hopefully you check twitter often enough to find this article. :D #google #ICS
pos;@csg122 http://t.co/TBLrvin Hopefully you check twitter often enough to find this article. :D #google #ICS
irr;@csg122 http://t.co/TBxLrvin Hopefully you check twitter often enough to find this article. :D #google #ICS
pos;@csg122 http://t.co/TBxLrvin Hopefully you check twitter often enough to find this article. :D #google #ICS
neg;I wish the Apple updater would stop trying to ram iTunes down my throat. I don't own a pissing iPhone @apple
neg;I wish the Apple updater would stop trying to ram iTunes down my throat. I don't own a pissing iPhone @apple
